<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SBER;60;230215;180000;157.8800000;158.2000000;156.6500000;157.2100000;12973390
SBER;60;230215;190000;157.9100000;158.0300000;157.1400000;157.2700000;3604950
SBER;60;230215;200000;157.2700000;157.3800000;153.8300000;154.8200000;17484480
SBER;60;230215;210000;154.8300000;156.4000000;154.4300000;155.8000000;9517590
SBER;60;230215;220000;155.7900000;157.2900000;155.7500000;156.4000000;7571580
SBER;60;230215;230000;156.4000000;156.7500000;155.8400000;156.2500000;2844040
SBER;60;230216;100000;157.3400000;158.6800000;156.2500000;158.0800000;20207980
SBER;60;230216;110000;158.0800000;159.3000000;157.9100000;158.9500000;10862470
SBER;60;230216;120000;158.9500000;159.1000000;157.6600000;158.2600000;6280760
SBER;60;230216;130000;158.2600000;158.8600000;157.8500000;158.8100000;3477590
SBER;60;230216;140000;158.8100000;159.0000000;158.1700000;158.5800000;2731170
SBER;60;230216;150000;158.5900000;158.8900000;157.2900000;157.4900000;3819430
SBER;60;230216;160000;157.4800000;157.9200000;156.6000000;156.6200000;5224140
SBER;60;230216;170000;156.6200000;158.6000000;156.3000000;157.7900000;6543620
SBER;60;230216;180000;157.7900000;158.0300000;157.2500000;157.2500000;2295580
SBER;60;230216;190000;157.4900000;157.9300000;157.2000000;157.8300000;1470280
SBER;60;230216;200000;157.7900000;158.4400000;157.5000000;157.7500000;2592930
SBER;60;230216;210000;157.7700000;158.2600000;157.7600000;157.8500000;901960
SBER;60;230216;220000;157.8500000;158.1100000;157.8100000;158.0300000;879270
SBER;60;230216;230000;158.0200000;158.2900000;158.0000000;158.2200000;1099280
SBER;60;230217;100000;157.9500000;158.6800000;156.9100000;158.2700000;10757400
SBER;60;230217;110000;158.2600000;159.2300000;157.8100000;159.1500000;7417170
SBER;60;230217;120000;159.1100000;160.3800000;158.7600000;159.7600000;10582190
SBER;60;230217;130000;159.7500000;160.0800000;159.0000000;159.5100000;5033870
SBER;60;230217;140000;159.5200000;159.5400000;158.6900000;159.1800000;2773650
SBER;60;230217;150000;159.1800000;159.6500000;158.7000000;159.4600000;2390840
SBER;60;230217;160000;159.4500000;159.9000000;159.0000000;159.1200000;3027130
SBER;60;230217;170000;159.1000000;159.4000000;158.8100000;159.4000000;1699690
SBER;60;230217;180000;159.3900000;159.5400000;158.9500000;158.9500000;2232940
SBER;60;230217;190000;159.2000000;159.4300000;159.0000000;159.3200000;1358730
SBER;60;230217;200000;159.2900000;159.5800000;159.1400000;159.4100000;911560
SBER;60;230217;210000;159.4200000;159.5000000;159.2900000;159.4200000;782680
SBER;60;230217;220000;159.4200000;159.8300000;159.4000000;159.7700000;1503070
SBER;60;230217;230000;159.7600000;159.8600000;159.6000000;159.7300000;1306490
SBER;60;230220;100000;159.4200000;159.4300000;158.0300000;158.1000000;11172830
SBER;60;230220;110000;158.0900000;158.3600000;157.0300000;157.1500000;6763810
SBER;60;230220;120000;157.1600000;157.6500000;157.0400000;157.2000000;3637880
SBER;60;230220;130000;157.2000000;157.5000000;156.7300000;157.4200000;3892060
SBER;60;230220;140000;157.4100000;157.4200000;156.8100000;157.1400000;2289760
SBER;60;230220;150000;157.1400000;158.2900000;157.1300000;157.9500000;6006160
SBER;60;230220;160000;157.9600000;158.9500000;157.8900000;158.8500000;5383080
SBER;60;230220;170000;158.8700000;159.8800000;158.6500000;159.8000000;6897560
SBER;60;230220;180000;159.7900000;160.5000000;159.4700000;160.2000000;6559150
SBER;60;230220;190000;160.3100000;161.3000000;159.8600000;159.9400000;5853010
SBER;60;230220;200000;159.9300000;160.3500000;159.6500000;159.6600000;1931590
SBER;60;230220;210000;159.6600000;159.9900000;159.6200000;159.9700000;843940
SBER;60;230220;220000;159.9600000;160.2100000;159.5300000;160.0300000;1537400
SBER;60;230220;230000;160.0100000;160.1500000;159.8100000;160.0900000;1042560
SBER;60;230221;100000;160.6400000;161.6900000;159.2600000;161.3000000;13698470
SBER;60;230221;110000;161.2900000;162.8900000;160.3700000;162.1300000;15387020
SBER;60;230221;120000;162.1100000;165.6500000;162.0000000;165.4300000;41560890
SBER;60;230221;130000;165.4300000;165.5300000;162.6700000;163.6400000;31294280
SBER;60;230221;140000;163.5800000;164.4900000;163.2700000;164.3900000;5762990
SBER;60;230221;150000;164.3800000;164.5800000;163.2100000;163.5500000;6470050
SBER;60;230221;160000;163.5100000;164.2900000;163.3500000;164.0500000;3076740
SBER;60;230221;170000;164.0500000;164.3000000;163.8000000;164.1500000;2321440
SBER;60;230221;180000;164.1500000;164.2100000;163.7400000;164.0000000;2216130
SBER;60;230221;190000;164.0800000;164.0800000;163.7700000;163.9800000;906790
SBER;60;230221;200000;163.9900000;164.4900000;163.9700000;164.3900000;1750730
SBER;60;230221;210000;164.4000000;164.4900000;164.2100000;164.2500000;844190
SBER;60;230221;220000;164.2700000;164.3000000;163.9000000;164.1000000;1162440
SBER;60;230221;230000;164.1000000;164.1600000;164.0000000;164.1500000;871840
SBER;60;230222;100000;164.1300000;164.4200000;162.6800000;162.8800000;11703270
SBER;60;230222;110000;162.8800000;163.7500000;162.7000000;163.1700000;5924610
SBER;60;230222;120000;163.1600000;163.5800000;162.8100000;162.9900000;2837270
SBER;60;230222;130000;163.0000000;163.2600000;162.8700000;163.1000000;2134360
SBER;60;230222;140000;163.1000000;163.1400000;162.5000000;162.8100000;3879350
SBER;60;230222;150000;162.8000000;164.2000000;162.6400000;164.0500000;4927590
SBER;60;230222;160000;164.0600000;164.1000000;163.4000000;163.5700000;3470180
SBER;60;230222;170000;163.5800000;163.9800000;163.5600000;163.8600000;2062940
SBER;60;230222;180000;163.8200000;163.9500000;163.4800000;163.9500000;1792870
SBER;60;230222;190000;163.8000000;163.9900000;163.5400000;163.9300000;995430
SBER;60;230222;200000;163.9200000;163.9500000;163.6200000;163.6200000;372940
SBER;60;230222;210000;163.6400000;163.7500000;163.6000000;163.6500000;671310
SBER;60;230222;220000;163.6500000;163.6500000;163.1500000;163.2800000;1678400
SBER;60;230222;230000;163.2400000;163.5400000;163.1600000;163.3700000;1245170
SBER;60;230224;100000;163.3300000;165.5000000;163.1000000;164.4800000;10666620
SBER;60;230224;110000;164.4500000;165.0800000;164.3600000;164.7200000;3096260
SBER;60;230224;120000;164.7300000;165.2000000;164.5300000;164.9800000;2355870
SBER;60;230224;130000;164.9700000;165.1000000;163.9500000;164.0300000;4117920
SBER;60;230224;140000;164.0600000;164.2500000;163.4000000;163.6000000;5286580
SBER;60;230224;150000;163.6100000;163.9900000;163.2800000;163.7700000;1686020
SBER;60;230224;160000;163.7800000;164.1700000;163.5000000;163.9200000;2145280
SBER;60;230224;170000;163.9500000;164.3200000;163.6100000;164.0800000;1912610
SBER;60;230224;180000;164.0800000;164.6000000;163.9200000;164.0000000;2207610
SBER;60;230224;190000;164.0000000;164.2700000;163.8400000;164.1500000;996330
SBER;60;230224;200000;164.1500000;164.2300000;163.8300000;163.8500000;769650
SBER;60;230224;210000;163.8500000;164.1500000;163.6700000;163.9900000;787730
SBER;60;230224;220000;163.9900000;164.3000000;163.9900000;164.2100000;736590
SBER;60;230224;230000;164.2000000;164.3300000;164.0500000;164.3000000;935460
SBER;60;230227;100000;163.6400000;167.4000000;162.9600000;167.0200000;28613700
SBER;60;230227;110000;167.0300000;167.8500000;166.7900000;166.8500000;14939820
SBER;60;230227;120000;166.8500000;167.3000000;166.6100000;167.0500000;4272950
SBER;60;230227;130000;167.0500000;167.6500000;166.9000000;167.0800000;4277730
SBER;60;230227;140000;167.1500000;167.3400000;166.7000000;167.1100000;2870660
SBER;60;230227;150000;167.1100000;168.6000000;167.0700000;168.3900000;11906230
SBER;60;230227;160000;168.3900000;169.5800000;167.9200000;168.9500000;11581140
SBER;60;230227;170000;168.9400000;169.9600000;168.9400000;169.7200000;10012010
SBER;60;230227;180000;169.7200000;169.7500000;169.1000000;169.5500000;4774740
SBER;60;230227;190000;169.5300000;169.5500000;169.2300000;169.3700000;1465650
SBER;60;230227;200000;169.3700000;169.5100000;169.2400000;169.4000000;1050780
SBER;60;230227;210000;169.3800000;169.7100000;169.2700000;169.6800000;1375290
SBER;60;230227;220000;169.6500000;169.8700000;169.5300000;169.8100000;961980
SBER;60;230227;230000;169.8100000;170.0000000;169.6100000;169.9500000;1902490
SBER;60;230228;100000;170.4800000;171.9200000;169.3200000;169.4000000;35103090
SBER;60;230228;110000;169.4000000;170.7900000;169.2400000;170.4200000;8894740
SBER;60;230228;120000;170.4100000;170.4100000;169.8100000;169.8300000;3715240
SBER;60;230228;130000;169.8300000;170.2500000;168.8000000;169.1800000;6975400
SBER;60;230228;140000;169.1800000;169.6800000;168.3700000;169.4000000;9368290
SBER;60;230228;150000;169.3900000;169.4400000;168.8900000;169.4300000;3311490
SBER;60;230228;160000;169.4300000;170.0900000;169.1000000;169.5300000;5802060
SBER;60;230228;170000;169.5400000;169.6700000;169.0000000;169.2500000;1701450
SBER;60;230228;180000;169.2500000;169.9000000;169.2200000;169.9000000;2275300
SBER;60;230228;190000;169.7900000;169.8500000;169.4200000;169.6200000;824110
SBER;60;230228;200000;169.6100000;169.8700000;169.5700000;169.8200000;746890
SBER;60;230228;210000;169.8100000;169.8300000;169.6000000;169.7000000;684930
SBER;60;230228;220000;169.7000000;169.7800000;169.6000000;169.7200000;429800
SBER;60;230228;230000;169.7300000;169.8500000;169.6600000;169.8200000;708070
