<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SBER;D;231027;000000;270.0000000;271.9800000;266.8000000;269.7000000;49735190
SBER;D;231030;000000;269.9000000;271.5500000;268.6000000;269.8900000;33261680
SBER;D;231031;000000;269.9100000;270.5000000;266.8700000;268.3500000;26117980
SBER;D;231101;000000;268.2900000;270.3000000;267.6000000;269.6800000;20587810
SBER;D;231102;000000;270.0100000;270.9800000;268.5000000;269.0600000;25499750
SBER;D;231103;000000;269.0700000;269.7800000;267.2000000;268.5400000;20968810
SBER;D;231106;000000;269.0000000;273.8700000;268.6200000;273.4200000;29231770
SBER;D;231107;000000;273.0800000;274.7800000;272.2000000;273.3100000;32183320
SBER;D;231108;000000;273.5300000;278.3500000;273.2800000;278.1500000;58000060
SBER;D;231109;000000;278.6000000;278.8500000;276.0200000;276.6500000;28258660
SBER;D;231110;000000;276.9900000;281.3000000;276.6000000;280.1900000;44600220
SBER;D;231113;000000;280.4000000;284.8000000;280.3200000;283.9700000;45780320
SBER;D;231114;000000;283.6600000;283.8800000;280.5400000;280.8700000;40350240
SBER;D;231115;000000;280.8700000;283.9300000;278.5100000;282.8900000;41784490
SBER;D;231116;000000;282.4000000;283.6900000;279.5600000;279.7000000;24654700
SBER;D;231117;000000;279.6900000;282.5000000;278.6600000;281.6000000;31282610
SBER;D;231120;000000;281.8000000;284.2000000;281.6100000;282.9100000;25219810
SBER;D;231121;000000;282.2900000;283.8200000;281.6600000;282.7900000;19027720
SBER;D;231122;000000;283.1400000;286.6700000;282.8500000;286.1600000;47267490
SBER;D;231123;000000;286.1600000;287.7700000;285.0400000;286.1900000;27692900
SBER;D;231124;000000;286.4800000;287.5000000;285.1100000;286.8500000;26019540
SBER;D;231127;000000;287.4100000;289.0000000;278.8800000;282.3300000;79026910
SBER;D;231128;000000;282.4000000;282.5100000;277.3200000;279.9100000;45475110
SBER;D;231129;000000;279.4800000;280.5600000;276.2000000;276.8000000;29776060
SBER;D;231130;000000;276.7100000;278.6500000;272.7500000;277.5000000;55837620
SBER;D;231201;000000;277.0400000;277.9800000;273.5500000;273.9700000;31604310
SBER;D;231204;000000;273.5900000;274.9500000;270.5200000;270.9600000;37456310
SBER;D;231205;000000;271.9700000;279.6500000;270.5400000;279.6200000;46800410
SBER;D;231206;000000;279.9200000;280.7900000;266.8300000;267.5800000;99849690
SBER;D;231207;000000;267.7400000;270.4400000;263.0600000;265.1200000;63509590
SBER;D;231208;000000;266.0100000;268.2300000;263.7200000;265.1600000;35322130
SBER;D;231211;000000;265.1700000;266.4700000;254.8100000;256.8900000;77590450
SBER;D;231212;000000;256.7900000;262.8800000;255.0500000;257.6000000;63807080
SBER;D;231213;000000;257.5800000;261.3900000;256.5000000;260.4500000;29760860
SBER;D;231214;000000;261.4000000;262.7500000;255.5800000;256.6400000;40477500
SBER;D;231215;000000;256.6100000;268.9100000;256.6100000;268.2100000;84643800
SBER;D;231218;000000;268.9000000;270.4400000;266.5400000;268.4000000;51515190
SBER;D;231219;000000;268.3500000;269.7100000;265.0000000;267.3500000;38229660
SBER;D;231220;000000;267.5200000;269.1000000;266.2000000;266.6100000;30929220
SBER;D;231221;000000;266.5500000;266.8700000;263.5000000;265.1900000;33214370
SBER;D;231222;000000;266.0700000;271.9000000;265.3700000;271.3000000;58687300
SBER;D;231225;000000;271.7500000;273.8500000;270.0500000;271.0800000;37827910
SBER;D;231226;000000;271.0000000;272.8900000;270.0000000;271.9000000;22575240
SBER;D;231227;000000;271.9000000;272.5900000;270.8500000;271.0800000;17191450
SBER;D;231228;000000;270.9900000;272.4800000;268.5200000;271.7400000;29416450
SBER;D;231229;000000;272.0800000;272.5900000;270.5500000;270.8200000;20792860
